customer_id,Customerslastname,Customersfirstname,CustomersCountry,Customersage,Customersgender,Customersemail,Customersprofession
c10001,Chapland,Ezmeralda,Palau,54,male,Ezmeralda.Chapland@step2c.com,firefighter
c10002,Zitvaa,Xylina,Monaco,49,male,Xylina.Zitvaa@step2c.com,police officer
c10003,Baylor,Ruthe,"Virgin Islands, U.S.",51,male,Ruthe.Baylor@step2c.com,firefighter
c10004,Nelsen,Frieda,Mozambique,48,male,Frieda.Nelsen@step2c.com,doctor
c10005,Rozanna,Jenda,Germany,58,female,Jenda.Rozanna@step2c.com,doctor
c10006,Irmine,Grier,Netherlands,20,female,Grier.Irmine@step2c.com,firefighter
c10007,Ophelia,Viviene,Botswana,36,male,Viviene.Ophelia@step2c.com,firefighter
c10008,Breed,Karlee,Benin,36,female,Karlee.Breed@step2c.com,police officer
c10009,Florina,Cherrita,Croatia,65,female,Cherrita.Florina@step2c.com,worker
c10010,Lasley,Wanda,Eritrea,52,male,Wanda.Lasley@step2c.com,police officer
c10011,Dorcy,Brooks,Egypt,42,female,Brooks.Dorcy@step2c.com,worker
c10012,Olin,Gwyneth,India,36,female,Gwyneth.Olin@step2c.com,doctor
c10013,Doig,Miquela,Grenada,57,male,Miquela.Doig@step2c.com,worker
c10014,Graig,Iseabal,Sweden,42,female,Iseabal.Graig@step2c.com,worker
c10015,Stuart,Etta,Monaco,23,male,Etta.Stuart@step2c.com,worker
c10016,Carbo,Ardeen,Sweden,43,male,Ardeen.Carbo@step2c.com,firefighter
c10017,Elo,Dacia,Benin,48,male,Dacia.Elo@step2c.com,worker
c10018,Earlie,Stevana,Martinique,63,female,Stevana.Earlie@step2c.com,firefighter
c10019,Jethro,Kenna,Heard Island and Mcdonald Islands,64,male,Kenna.Jethro@step2c.com,worker
c10020,Giule,Stevana,Cuba,53,female,Stevana.Giule@step2c.com,developer
c10021,Schenck,Emelina,Nicaragua,43,male,Emelina.Schenck@step2c.com,worker
c10022,Raul,Jackie,Saudi Arabia,37,male,Jackie.Raul@step2c.com,police officer
c10023,Thar,Ardenia,Saudi Arabia,23,male,Ardenia.Thar@step2c.com,firefighter
c10024,Byrne,Darlleen,Cambodia,34,female,Darlleen.Byrne@step2c.com,worker
c10025,Sisile,Sidoney,Bolivia,31,female,Sidoney.Sisile@step2c.com,developer
